AAPL,Apple Inc,20140424,Apple Google agree to settle lawsuit alleging hiring conspiracy,SAN FRANCISCO Four major tech companies including Apple and Google have agreed to settle a lawsuit accusing them of conspiring to hold down salaries in Silicon Valley just weeks before a high profile trial had been scheduled to begin
AAPL,Apple Inc,20140424,Apple supplier Cirrus Logic s quarterly results beat estimates,April 24 Cirrus Logic Inc a supplier to Apple Inc reported better than expected quarterly results helped by strong demand for its audio chips from the iPhone and iPad maker
AAPL,Apple Inc,20140424,Equity indexes up on Apple Ukraine tempers rise,NEW YORK Global equity markets rose in choppy trading on Thursday in the wake of strong earnings results from tech heavyweights Apple and Facebook but worries about rising tensions in Ukraine limited gains and dragged the dollar lower
AAPL,Apple Inc,20140424,Exclusive Apple Google agree to pay over 300 million to settle conspiracy lawsuit,SAN FRANCISCO Four major tech companies including Apple and Google have agreed to pay a total of 324 million to settle a lawsuit accusing them of conspiring to hold down salaries in Silicon Valley sources familiar with the deal said just weeks before a high profile trial had been scheduled to begin
AAPL,Apple Inc,20140424,EXCLUSIVE Apple Google agree to pay over 300 mln to settle conspiracy lawsuit,SAN FRANCISCO April 24 Four major tech companies including Apple and Google have agreed to pay a total of 324 million to settle a lawsuit accusing them of conspiring to hold down salaries in Silicon Valley sources familiar with the deal said just weeks before a high profile trial had been scheduled to begin
AAPL,Apple Inc,20140424,UPDATE 1 Apple supplier Cirrus Logic forecasts strong revenue,April 24 Cirrus Logic Inc a supplier to Apple Inc forecast current quarter revenue well above analysts estimates helped by strong demand for its audio chips from the iPhone and iPad maker sending its shares up 4 percent after the bell
AAPL,Apple Inc,20140424,US STOCKS Apple buoys Nasdaq Ukraine weighs on broader market,Apple rallies a day after announcing 7 for 1 stock split
AAPL,Apple Inc,20140424,US STOCKS SNAPSHOT Apple lifts S P 500 Nasdaq Dow ends flat,NEW YORK April 24 U S stocks ended mostly higher in a choppy session on Thursday powered by a rally in Apple shares a day after the iPad maker s strong results though tensions in Ukraine limited gains
AAPL,Apple Inc,20140425,Apple offers to fix faulty iPhones a rare move,SAN FRANCISCO April 25 Apple Inc has offered to replace faulty on off buttons on the iPhone 5 a rare glitch that it said on Friday affected a small percentage of the previous generation smartphones
AAPL,Apple Inc,20140425,Apple s sales boom in communist Vietnam,This story corrects period for sales in the first paragraph
AAPL,Apple Inc,20140425,India Morning Call Global Markets,NEW YORK The Nasdaq rose modestly in a choppy session on Thursday lifted by a rally in Apple shares a day after the iPad maker s strong results though tensions in Ukraine held the broader market in check
AAPL,Apple Inc,20140425,UPDATE 1 Apple offers to fix rare fault in older iPhones,SAN FRANCISCO April 25 Apple Inc has offered to replace faulty on off buttons on the iPhone 5 a rare glitch that it said on Friday affected a small percentage of the previous generation smartphones
AAPL,Apple Inc,20140425,UPDATE 1 U S court may consider delay of Apple e books damages trial,Adds details from order no immediate comment from lawyers background byline case citation
AAPL,Apple Inc,20140425,UPDATE 2 U S appeals court revives Apple patent lawsuit against Google,WASHINGTON April 25 A U S appeals court on Friday revived patent claims Apple made against Google s Motorola Mobility unit that had been dismissed shortly before trial giving the iPhone maker another chance to seek a sales ban against its smartphone competitor
AAPL,Apple Inc,20140425,U S appeals court revives an Apple patent lawsuit against Google,WASHINGTON April 25 A U S appeals court on Friday revived patent claims Apple made against Google subsidiary Motorola Mobility over mobile phone technology that had been dismissed by an Illinois court
AAPL,Apple Inc,20140425,U S appeals court revives Apple patent lawsuit against Google,WASHINGTON A U S appeals court on Friday revived patent claims Apple made against Google s Motorola Mobility unit that had been dismissed shortly before trial giving the iPhone maker another chance to seek a sales ban against its smartphone competitor
AAPL,Apple Inc,20140425,U S appeals court to consider Apple s request to delay e books trial,NEW YORK April 25 A U S appeals court will consider Apple Inc s request to put off a trial scheduled for July to determine how much the iPad maker must pay in damages to customers in more than two dozen states over e book price fixing
AAPL,Apple Inc,20140428,Apple coming back for more,This story originally appeared on IFR a Thomson Reuters publication
AAPL,Apple Inc,20140428,GLOBAL MARKETS Stocks gain on merger speculation crude oil falls,Wall St rebounds on merger speculation rotation into Apple
AAPL,Apple Inc,20140428,US STOCKS SNAPSHOT S P 500 ends up with Apple after volatile session,NEW YORK April 28 The S P 500 ended higher on Monday after a volatile session as gains in Apple and Pfizer helped offset another round of selling in some high growth tech shares
AAPL,Apple Inc,20140428,US STOCKS S P 500 ends up with Apple Pfizer Nasdaq dips,Pfizer works on next move in takeover bid for Astrazeneca
AAPL,Apple Inc,20140429,Apple bond guidance levels 10bp 20bp inside IPTs,NEW YORK April 29 IFR Technology giant Apple has tightened guidance on its seven tranche US dollar bond by 10bp to 20bp from initial price talk levels reflecting strong demand for the deal that was heard to be in excess of US 30bn by midday
AAPL,Apple Inc,20140429,Apple bond now seen at US 10 12bn demand tops US 40bn sources,NEW YORK April 29 IFR Technology giant Apple is now expected to raise US 10bn US 12bn from a seven tranche bond deal higher than initial expectations of US 8bn US 10bn as order books climbed in excess of US 40bn market sources said on Tuesday
AAPL,Apple Inc,20140429,Apple makes final pitch to U S jury in Samsung trial,SAN JOSE Calif April 29 Samsung transformed the smartphone market only by copying iPhone technology an Apple attorney said on Tuesday as the two companies delivered closing arguments to jurors after a month long trial over mobile patents
AAPL,Apple Inc,20140429,European Union moves to end smartphone patent wars,BRUSSELS The European Union s antitrust enforcer has told two top smartphone makers to stop filing aggressive patent lawsuits against rivals such as Apple aiming to end a patent war and open the market to freer competition
AAPL,Apple Inc,20140429,GLOBAL MARKETS Stocks rise on corporate results euro falls on inflation data,U S bond yields rise as Apple prepares huge bond deal Updates market action
AAPL,Apple Inc,20140429,UPDATE 2 Apple Samsung make final pitches to U S jury in patent trial,SAN JOSE Calif April 29 Apple has vastly exaggerated the importance of its patented iPhone features a Samsung attorney said on Tuesday as the two companies delivered closing arguments to jurors after a month long trial over mobile technology
AAPL,Apple Inc,20140429,UPDATE 2 European Union moves to end smartphone patent wars,EU antitrust chief Motorola action against Apple illegal
AAPL,Apple Inc,20140429,UPDATE 4 Orders pour in for Apple s 12bn bond offering,NEW YORK April 29 IFR Investors rushed on Tuesday to get a piece of Apple s new US 12bn seven part bond deal just the company s second foray into the US bond market
AAPL,Apple Inc,20140501,Bailey takes the helm at Burberry,LONDON May 1 Christopher Bailey started his job as chief executive of Burberry on Thursday six months after the British luxury goods group said he would take over the top role from Angela Ahrendts who leaves for Apple
AAPL,Apple Inc,20140501,UPDATE 1 David Einhorn s Greenlight Capital up 4 3 percent in April sources,May 1 David Einhorn s Greenlight Capital Inc posted returns of 4 3 percent in April owing to his short bets against high flying momentum stocks and its holdings of Apple Inc and Micron Technology according to sources familiar with the hedge fund on Thursday
AAPL,Apple Inc,20140502,Apple raises US 12bn in perfect style,NEW YORK May 2 IFR Apple wielded the kind of marketing magic in the bond market that it is known for in the tech industry this week when it managed to convince US investors to buy US 12bn more of its bonds at premium prices just a year after its US 17bn offering left hundreds of bondholders under water
AAPL,Apple Inc,20140502,Jury reaches verdict in Apple Samsung patents trial,SAN JOSE Calif May 2 The jury has reached a verdict on Friday in a patent trial between Apple Inc and Samsung Electronics Co Ltd which will be read in a San Jose California federal courtroom shortly according to a court official
AAPL,Apple Inc,20140503,UPDATE 3 U S jury orders smartphone maker Samsung to pay Apple 120 mln,Adds comment from Apple and Samsung details on patent litigation
AAPL,Apple Inc,20140503,U S jury finds Samsung infringed two Apple patents,SAN JOSE Calif May 2 A U S jury on Friday found Samsung Electronics Co Ltd has infringed two Apple Inc patents and did not infringe two patents
AAPL,Apple Inc,20140503,U S jury orders Apple to pay Samsung 158 400 in mobile patents trial,SAN JOSE Calif May 2 A U S jury on Friday ordered Apple Inc to pay 158 400 to Samsung Electronics Co Ltd after it found the iPhone maker infringed on at least one of the Korean company s patents
AAPL,Apple Inc,20140503,U S jury orders Apple to pay Samsung 158 400 in mobile patents trial,SAN JOSE California A U S jury on Friday ordered Apple Inc to pay 158 400 to Samsung Electronics Co Ltd after it found the iPhone maker infringed on at least one of the Korean company s patents
AAPL,Apple Inc,20140505,Apple on medical tech hiring spree a possible hint of iWatch plans,SAN FRANCISCO Apple Inc is building a team of senior medical technology executives raising hackles in the biotechnology community and offering a hint of what the iPhone maker may be planning for its widely expected iWatch and other wearable technology
AAPL,Apple Inc,20140505,Deals of the day Mergers and acquisitions,Adds Alsea UniCredit Qatar Airways Staples Pfizer Endurance Specialty Ascometal updates Alstom
